"studyName","Cycle","Event Num","Cast Num","Bottle","Depth (m)","Datetime GMT","Latitude (º)","Longitude (º)","Diatom < 5um (µg/L)","Diatom 5-10um (µg/L)","Diatom 10-20um (µg/L)","Diatom 20-40um (µg/L)","Diatom > 40um (µg/L)","Auto Dinoflag < 5um (µg/L)","Auto Dinoflag 5-10um (µg/L)","Auto Dinoflag 10-20um (µg/L)","Auto Dinoflag 20-40um (µg/L)","Auto Dinoflag > 40um (µg/L)","Prymnesiophytes < 2um (µg/L)","Prymnesiophytes 2-5um (µg/L)","Prymnesiophytes 5-10um (µg/L)","Prymnesiophytes 10-20um (µg/L)","Cryptophytes < 5um (µg/L)","Cryptophytes 5-10um (µg/L)","Cryptophytes 10-20um (µg/L)","Cryptophytes 20-40um (µg/L)","Other Auto Euk < 2um (µg/L)","Other Auto Euk 2-5um (µg/L)","Other Auto Euk 5-10um (µg/L)","Other Auto Euk 10-20um (µg/L)","Other Auto Euk 20-40um (µg/L)","Other Auto Euk > 40um (µg/L)","Hetero Dinoflag < 5um (µg/L)","Hetero Dinoflag 5-10um (µg/L)","Hetero Dinoflag 10-20um (µg/L)","Hetero Dinoflag 20-40um (µg/L)","Hetero Dinoflag > 40um (µg/L)","Other Hetero Euk < 2um (µg/L)","Other Hetero Euk 2-5um (µg/L)","Other Hetero Euk 5-10um (µg/L)","Other Hetero Euk 10-20um (µg/L)","Other Hetero Euk 20-40um (µg/L)","Other Hetero Euk > 40um (µg/L)","Ciliates 5-10um (µg/L)","Ciliates 10-20um (µg/L)","Ciliates 20-40um (µg/L)","Ciliates > 40um (µg/L)","Total Diatom (µg/L)","Total Auto Dinoflag (µg/L)","Total Prymnesiophyte (µg/L)","Total Cryptophyte (µg/L)","Total Other Auto (µg/L)","Total Hetero Dinoflag (µg/L)","Total Other Hetero (µg/L)","Total Ciliate (µg/L)","Total Auto Euk (µg/L)","Total Hetero Euk (µg/L)"
"P0810MV","1","68","6","23","5","2008-10-04 08:35:23","34.128587","-120.97616","","","0.030512640495339","0.18087123580323","0.50459429083819","0.036280848467026","0.2158278611861","0.19372386269404","0.26189474409244","","","0.57287085212267","0.3899884535146","0.0060953470620538","","","","","","1.2487996607951","0.41611373749264","0.27382559403377","0.080620154813718","","0.097431894756818","0.21153374775217","0.18315704851062","0.1895410180199","","","0.61940254849878","0.30512397438904","0.21577160829516","0.25609502078299","","","","0.080142021992472","","0.71597816713676","0.7077273164396","0.96895465269932","","2.0193591471352","0.68166370903951","1.396393151966","0.080142021992472","4.4120192834109","2.1581988829979"
"P0810MV","1","68","6","20","12","2008-10-04 08:35:23","34.128587","-120.97616","","","0.23215827422098","0.10350061766688","0.76601648549481","0.15036451602291","0.1071682902231","0.28127315924466","0.22043636202357","","","1.7205729008142","0.92638237912979","","","","","","","2.0129598069144","0.48041920376768","0.3314577221169","","","0.18900335647839","0.76590018632588","0.26389416034165","0.40632462737475","0.04841152363634","","0.6385826790116","0.64527615474133","0.52519062032921","0.25907009171868","","","","0.072309954668031","","1.1016753773827","0.75924232751424","2.646955279944","","2.8248367327989","1.673533854157","2.0681195458008","0.072309954668031","7.3327097176398","3.8139633546259"
"P0810MV","1","68","6","17","20","2008-10-04 08:35:23","34.128587","-120.97616","","","0.089385142418173","0.68296757438422","0.48245639175627","0.10134606616969","1.0507966451078","0.46742582377353","0.16109335203596","","","1.5317628449601","1.1596718012621","","","","","","","0.9878360938837","1.0505770224983","0.76356020350337","0.38391760774943","","0.34243286715303","1.0883192948118","0.6273387004677","0.83728847910466","0.43861407831388","","0.56939784445268","0.10493923758592","0.86670698505673","0.12611055331304","","","","0.32024213842023","","1.2548091085587","1.7806618870869","2.6914346462223","","3.1858909276348","3.3339934198511","1.6671546204084","0.32024213842023","8.9127965695026","5.3213901786797"
"P0810MV","1","68","6","14","30","2008-10-04 08:35:23","34.128587","-120.97616","","","0.96338779418111","0.89691487014208","0.57023409074991","0.024556818517663","1.1377405366213","0.36442697398054","0.061305674546648","","","1.800915896141","0.94077775097204","","","","","","","1.6632993611861","2.3364863144339","0.56865444507524","0.08121908407046","","0.38684117999757","0.91934215541849","0.55638610582936","0.72248225417257","0.15746640531933","","1.0300633068995","1.0699907809584","0.79688276237823","0.23614161107461","","","","","","2.4305367550731","1.5880300036662","2.741693647113","","4.6496592047657","2.7425181007373","3.1330784613108","","11.409919610618","5.8755965620481"
"P0810MV","1","68","6","11","35","2008-10-04 08:35:23","34.128587","-120.97616","","","0.84756062006997","0.47473072678231","0.8552723971752","0.15309453966743","0.49176109927864","0.1909161738159","0.34871196209425","","","1.4069337607387","1.3294995126021","","","","","","","0.85951639654504","1.0801416233423","0.93377886724791","0.26358500391478","0.43929613905363","0.62353269979981","1.0230349091238","0.27784053450027","0.31831192198414","","","1.2864761935553","0.067193735514431","0.50647695013218","0.12509730996875","0.084920483755132","","","0.1184330989636","","2.1775637440275","1.1844837748562","2.7364332733408","","3.5763180301037","2.242720065408","2.0701646729257","0.1184330989636","9.6747988223282","4.4313178372974"
"P0810MV","1","68","6","8","40","2008-10-04 08:35:23","34.128587","-120.97616","","","0.41410079033316","0.029041479107651","0.20174547358363","0.15838946810035","0.13962805992121","0.14733625205266","0.32166232495815","","","2.2554728957569","1.555189929448","","","","","","","0.60050201146295","1.7579317716066","0.80898777518565","0.29655139283184","","0.55461900610628","0.4208362413723","0.44056617975873","0.59146453040189","","","1.0838497920691","0.094551809062116","0.75808953152697","0.20548071681166","","","","0.16355895264318","","0.64488774302444","0.76701610503238","3.8106628252049","","3.4639729510871","2.0074859576392","2.1419718494699","0.16355895264318","8.6865396243488","4.3130167597523"
"P0810MV","1","68","6","5","50","2008-10-04 08:35:23","34.128587","-120.97616","","","0.054179850828055","0.10104262713868","0.08159644670529","0.1532763078482","0.30471354649744","0.24248153577719","0.42041276402534","","","2.1954928481935","0.34004787148637","","","","","","","1.4553689631328","1.3310681998781","0.5579501052356","0.066812846566719","0.38661126180014","0.26708943476274","0.3224958338874","0.28168476838043","0.43409929088163","0.14592894387963","","1.455194395158","0.42913632222534","0.61343830471123","0.49039051076695","","","","","","0.23681892467203","1.1208841541482","2.5355407196798","","3.7978113766134","1.4512982717918","2.9881595328615","","7.6910551751134","4.4394578046534"
"P0810MV","1","68","6","2","60","2008-10-04 08:35:23","34.128587","-120.97616","","","0.27634435702713","0.14851621740523","0.13968597698701","0.13175612878954","0.78190636393421","0.06022217158533","","","","2.0233477079459","1.6388905439675","","","","","","","0.84080232996528","0.80087569612895","0.64173415838871","0.10419467635969","","0.36789661221833","1.3292862609548","0.24656438137398","0.35248943128944","0.2751415859539","","1.1537185009491","0.58035479683941","0.61783967823904","0.38669793351136","","","","","0.28970384265368","0.56454655141937","0.97388466430909","3.6622382519134","","2.3876068608426","2.5713782717905","2.7386109095389","0.28970384265368","7.5882763284845","5.5996930239831"
"P0810MV","1","106","10","23","5","2008-10-05 09:11:26","34.113715","-120.84065","","","0.18235975879383","0.039022454071275","0.15814609317594","0.099147948908016","1.2497864317091","0.19643605252446","0.32224261397498","","","2.052491141767","0.86837397250899","0.0069420861120375","","","","","","0.72873520219065","0.944836894294","0.85328727108642","0.18674779757576","0.042735778373118","0.47572269593026","0.76402246798661","0.40051506129285","0.67354324455606","0.59605870005168","","0.56394314632191","0.050017205321804","1.0413065595781","0.50133552668573","","","","","","0.37952830604105","1.8676130471166","2.927807200388","","2.75634294352","2.9098621698175","2.1566024379076","","7.9312914970656","5.066464607725"
"P0810MV","1","106","10","20","12","2008-10-05 09:11:26","34.113715","-120.84065","","","0.25912601208021","0.12280353055","0.13914621475942","0.2146951563279","1.1684565108928","0.2978381714628","0.047692157490062","","","1.765890047037","0.6198719622524","","","","","","","0.72751233334381","0.35253352122488","0.61182911450535","0.84895430669145","","0.38898203164401","0.3499172560984","0.58593143060219","0.57563818154695","0.43185236389213","","0.409773722392","","0.86186635241224","0.75239693676586","0.42803876012661","","","","0.24821678461379","0.52107575738963","1.7286819961736","2.3857620092894","","2.5408292757655","2.3323212637837","2.4520757716967","0.24821678461379","7.1763490386181","5.0326138200942"
"P0810MV","1","106","10","17","20","2008-10-05 09:11:26","34.113715","-120.84065","","","0.59447515218767","2.1366761646636","0.35545321025848","0.18191534954821","1.7585764702678","0.74267150633382","0.11733130651388","","","2.304851720316","1.3249181732233","0.040509548093456","","","","","","0.35814732551805","0.17667160698847","1.3486649155646","0.78589311970917","","0.21990838141488","1.4072678623355","1.1808070413892","1.22634058657","0.42052037887001","","0.43779116150417","","1.2667222820393","1.0400301299406","","","","","","3.0866045271097","2.8004946326637","3.6702794416328","","2.6693769677803","4.4548442505795","2.7445435734841","","12.226755569187","7.1993878240636"
